Neighborhood,Avg Price per square meter
Villa Lugano,1417
Villa Riachuelo,1940
Boca,2034
Velez Sarsfield,2064
Nueva Pompeya,2072
Parque Patricios,2104
Versalles,2104
Floresta,2141
Constitucion,2146
Balvanera,2270
Villa Real,2273
Parque Avellaneda,2292
San Cristobal,2378
Mataderos,2393
Villa Santa Rita,2404
Liniers,2418
Flores,2474
Monte Castro,2510
Villa Luro,2521
Agronomia,2521
Villa Gral. Mitre,2524
Barracas,2525
San Nicolas,2580
Monserrat,2594
Paternal,2669
Parque Chacabuco,2723
Almagro,2750
Villa Del Parque,2803
San Telmo,2859
Villa Crespo,2892
Boedo,2906
Chacarita,2974
Caballito,3015
Villa Pueyrredon,3028
Villa Devoto,3031
Saavedra,3068
Villa Ortuzar,3074
Coghlan,3160
Parque Chas,3261
Colegiales,3449
Retiro,3494
Villa Urquiza,3511
Recoleta,3651
Nunez,3973
Belgrano,4028
Palermo,4152
Puerto Madero,6729
